date,open,high,low,close,adj_close,volume
2023-03-01,146.830002,147.229996,145.009995,145.309998,145.109283,55479000.0
2023-03-02,144.380005,146.710007,143.899994,145.910004,145.708466,52238100.0
2023-03-03,148.039993,151.110001,147.330002,151.029999,150.821381,70732300.0
2023-03-04,148.039993,151.110001,147.330002,151.029999,150.821381,70732300.0
2023-03-05,148.039993,151.110001,147.330002,151.029999,150.821381,70732300.0
2023-03-06,153.789993,156.300003,153.460007,153.830002,153.617523,87558000.0
2023-03-07,153.699997,154.029999,151.130005,151.600006,151.39061,56182000.0
2023-03-08,152.809998,153.470001,151.830002,152.869995,152.658844,47204800.0
2023-03-09,153.559998,154.539993,150.229996,150.589996,150.381989,53833600.0
2023-03-10,150.210007,150.940002,147.610001,148.5,148.294876,68572400.0
2023-03-11,150.210007,150.940002,147.610001,148.5,148.294876,68572400.0
2023-03-12,150.210007,150.940002,147.610001,148.5,148.294876,68572400.0
2023-03-13,147.809998,153.139999,147.699997,150.470001,150.262161,84457100.0
2023-03-14,151.279999,153.399994,150.100006,152.589996,152.379227,73695900.0
2023-03-15,151.190002,153.25,149.919998,152.990005,152.778687,77167900.0
2023-03-16,152.160004,156.460007,151.639999,155.850006,155.634735,76161100.0
2023-03-17,156.080002,156.740005,154.279999,155.0,154.785904,98944600.0
2023-03-18,156.080002,156.740005,154.279999,155.0,154.785904,98944600.0
2023-03-19,156.080002,156.740005,154.279999,155.0,154.785904,98944600.0
2023-03-20,155.070007,157.820007,154.149994,157.399994,157.182587,73641400.0
2023-03-21,157.320007,159.399994,156.539993,159.279999,159.059982,73938300.0
2023-03-22,159.300003,162.139999,157.809998,157.830002,157.612,75701800.0
2023-03-23,158.830002,161.550003,157.679993,158.929993,158.710464,67622100.0
2023-03-24,158.860001,160.339996,157.850006,160.25,160.028656,59196500.0
2023-03-25,158.860001,160.339996,157.850006,160.25,160.028656,59196500.0
2023-03-26,158.860001,160.339996,157.850006,160.25,160.028656,59196500.0
2023-03-27,159.940002,160.770004,157.869995,158.279999,158.061371,52390300.0
2023-03-28,157.970001,158.490005,155.979996,157.649994,157.432236,45992200.0
2023-03-29,159.369995,161.050003,159.350006,160.770004,160.547943,51305700.0
2023-03-30,161.529999,162.470001,161.270004,162.360001,162.135742,49501700.0
2023-03-31,162.440002,165.0,161.910004,164.899994,164.672226,68749800.0
2023-04-01,162.440002,165.0,161.910004,164.899994,164.672226,68749800.0
2023-04-02,162.440002,165.0,161.910004,164.899994,164.672226,68749800.0
2023-04-03,164.270004,166.289993,164.220001,166.169998,165.940475,56976200.0
2023-04-04,166.600006,166.839996,165.110001,165.630005,165.40123,46278300.0
2023-04-05,164.740005,165.050003,161.800003,163.759995,163.533798,51511700.0
2023-04-06,162.429993,164.960007,162.0,164.660004,164.432556,45390100.0
2023-04-07,162.429993,164.960007,162.0,164.660004,164.432556,45390100.0
2023-04-08,162.429993,164.960007,162.0,164.660004,164.432556,45390100.0
2023-04-09,162.429993,164.960007,162.0,164.660004,164.432556,45390100.0
2023-04-10,161.419998,162.029999,160.080002,162.029999,161.806183,47716900.0
2023-04-11,162.350006,162.360001,160.509995,160.800003,160.577896,47644200.0
2023-04-12,161.220001,162.059998,159.779999,160.100006,159.87886,50133100.0
2023-04-13,161.630005,165.800003,161.419998,165.559998,165.331314,68445600.0
2023-04-14,164.589996,166.320007,163.820007,165.210007,164.981812,49386500.0
2023-04-15,164.589996,166.320007,163.820007,165.210007,164.981812,49386500.0
2023-04-16,164.589996,166.320007,163.820007,165.210007,164.981812,49386500.0
2023-04-17,165.089996,165.389999,164.029999,165.229996,165.00177,41516200.0
2023-04-18,166.100006,167.410004,165.649994,166.470001,166.240067,49923000.0
2023-04-19,165.800003,168.160004,165.539993,167.630005,167.398468,47720200.0
2023-04-20,166.089996,167.869995,165.559998,166.649994,166.4198,52456400.0
2023-04-21,165.050003,166.449997,164.490005,165.020004,164.792068,58337300.0
2023-04-22,165.050003,166.449997,164.490005,165.020004,164.792068,58337300.0
2023-04-23,165.050003,166.449997,164.490005,165.020004,164.792068,58337300.0
2023-04-24,165.0,165.600006,163.889999,165.330002,165.101639,41949600.0
2023-04-25,165.190002,166.309998,163.729996,163.770004,163.543793,48714100.0
2023-04-26,163.059998,165.279999,162.800003,163.759995,163.533798,45498800.0
2023-04-27,165.190002,168.559998,165.190002,168.410004,168.177383,64902300.0
2023-04-28,168.490005,169.850006,167.880005,169.679993,169.445618,55209200.0
2023-04-29,168.490005,169.850006,167.880005,169.679993,169.445618,55209200.0
2023-04-30,168.490005,169.850006,167.880005,169.679993,169.445618,55209200.0
2023-05-01,169.279999,170.449997,168.639999,169.589996,169.355743,52472900.0
