date,open,high,low,close,adj_close,volume
2023-03-01,231.919998,232.559998,225.080002,226.979996,226.917969,46002600.0
2023-03-02,224.880005,233.800003,224.320007,233.139999,233.076279,38941500.0
2023-03-03,233.199997,239.0,231.300003,238.899994,238.834702,41239300.0
2023-03-04,233.199997,239.0,231.300003,238.899994,238.834702,41239300.0
2023-03-05,233.199997,239.0,231.300003,238.899994,238.834702,41239300.0
2023-03-06,238.910004,242.479996,234.869995,235.539993,235.475632,43742900.0
2023-03-07,236.0,241.25,232.410004,232.880005,232.855911,51515400.0
2023-03-08,234.869995,242.0,234.240005,241.809998,241.784973,51357300.0
2023-03-09,241.75,244.539993,233.830002,234.360001,234.335754,50125700.0
2023-03-10,234.089996,236.270004,227.259995,229.649994,229.626236,47486600.0
2023-03-11,234.089996,236.270004,227.259995,229.649994,229.626236,47486600.0
2023-03-12,234.089996,236.270004,227.259995,229.649994,229.626236,47486600.0
2023-03-13,227.520004,232.979996,222.970001,229.660004,229.636246,42189000.0
2023-03-14,234.960007,242.190002,234.600006,240.630005,240.605103,47491000.0
2023-03-15,237.610001,242.860001,233.600006,242.279999,242.254929,52448600.0
2023-03-16,240.270004,255.880005,238.940002,255.410004,255.383575,58325300.0
2023-03-17,259.820007,263.98999,256.679993,257.25,257.223389,84854700.0
2023-03-18,259.820007,263.98999,256.679993,257.25,257.223389,84854700.0
2023-03-19,259.820007,263.98999,256.679993,257.25,257.223389,84854700.0
2023-03-20,256.149994,260.23999,251.300003,259.0,258.973206,43274700.0
2023-03-21,261.799988,263.920013,253.809998,261.98999,261.962891,54740800.0
2023-03-22,264.25,275.890015,262.369995,264.679993,264.652618,79729500.0
2023-03-23,271.149994,274.98999,266.899994,271.910004,271.881866,56488900.0
2023-03-24,270.309998,271.670013,263.549988,267.790009,267.762299,45492000.0
2023-03-25,270.309998,271.670013,263.549988,267.790009,267.762299,45492000.0
2023-03-26,270.309998,271.670013,263.549988,267.790009,267.762299,45492000.0
2023-03-27,268.369995,270.0,263.649994,265.309998,265.282532,36102600.0
