date,score,w_subj,w_polar,w_comp
2023-03-01,3.0,0.16666666666666666,0.16666666666666666,-0.1686
2023-03-02,3600.0,0.15546742724867724,0.016165922619047614,-0.3552072222222222
2023-03-03,8677.0,0.18599373279884035,0.0977098757895087,0.18697444969459492
2023-03-04,4358.0,0.3912051002316319,0.050226476553995474,0.3970795318953649
2023-03-05,124.0,0.43628307848065917,0.13698488339617373,0.2203129032258065
2023-03-06,7080.0,0.13207066070475573,0.04888826705085785,0.10166709039548022
2023-03-07,383.0,0.2976444769329887,0.0703473296358414,0.056084595300261095
2023-03-08,1214.0,0.07164103972176461,0.01341410397217646,-0.01618064250411861
2023-03-09,1237.0,0.39080780063449827,-0.0013524546204416927,0.10238674211802748
2023-03-10,2510.0,0.39162223495517384,0.0324414268042976,0.15117505976095616
2023-03-11,510.0,0.3919342390996803,0.017698131525337415,0.03226196078431372
2023-03-12,6.0,0.31359577922077925,-0.051700036075036065,-0.19943333333333335
2023-03-13,90.0,0.15191005884833048,0.022948706643151087,0.1615522222222222
2023-03-14,10.0,0.1806547619047619,0.10958333333333332,0.14140999999999998
2023-03-15,1.0,0.0,0.0,0.0
2023-03-16,27.0,0.34371840094062317,0.031384479717813045,-0.14806296296296295
2023-03-17,1398.0,0.358832598428641,0.0613020640300195,0.10302167381974248
2023-03-18,328.0,0.22519488456638742,0.03255507619738251,0.06916615853658538
2023-03-19,322.0,0.3260519346078352,0.0028365061439595603,0.07963416149068324
2023-03-20,21.0,0.2571428571428572,-0.15714285714285714,-0.12645238095238095
2023-03-21,72.0,0.28002604166666667,0.021276041666666665,0.23118888888888892
2023-03-22,29.0,0.32250438819998867,0.1966101155087481,0.18147241379310347
2023-03-23,12.0,0.168396164021164,0.019922288359788366,0.08763333333333334
2023-03-24,849.0,0.39096223008977143,0.04110755617060164,0.04235842167255595
2023-03-25,130.0,0.5248306297560862,0.1605445881252806,0.6021723076923077
2023-03-26,5.0,0.11027777777777778,-0.07416666666666667,-0.15172
2023-03-27,34.0,0.36776857440602656,0.1257477452938207,0.3537676470588235
2023-03-28,721.0,0.37858956715960873,0.07868307680530287,0.5878037447988904
2023-03-29,127.0,0.3550895941693186,0.13727741582564418,0.4680031496062992
2023-03-30,382.0,0.4907991298767001,0.028092255348157364,0.08485732984293193
2023-03-31,1282.0,0.33635224878629316,0.02917618321200446,0.13634734789391575
2023-04-01,42.0,0.44122129457843745,0.10982513914656772,0.14515714285714285
2023-04-02,10.0,0.33499999999999996,0.19,0.41093
2023-04-03,4.0,0.4039583333333333,-0.0035416666666666582,0.328675
2023-04-04,15.0,0.2547469135802469,0.08546296296296298,0.42506666666666665
2023-04-05,39.0,0.3272829793663127,0.11021432271432272,0.684276923076923
2023-04-06,183.0,0.24904241407331823,0.11736845617531662,0.2676377049180328
2023-04-07,229.0,0.40555757509734947,0.06332063674439384,0.3638061135371179
2023-04-08,2233.0,0.405803895764268,0.14392552781809706,0.18894832064487238
2023-04-09,549.0,0.27819560831089024,0.05869266452761237,0.08097213114754098
2023-04-10,14.0,0.41747448979591834,0.08125000000000002,0.10901428571428573
2023-04-11,14567.0,0.4392553313969571,-0.02298299360123632,-0.1440549392462415
2023-04-12,10077.0,0.3641886402925332,0.15005242883940303,0.45499409546492015
2023-04-13,5262.0,0.07388681033516648,0.023391392408638703,-0.22795093120486504
2023-04-14,937.0,0.3687967047678543,0.08297365928434679,0.10961953041622198
2023-04-15,43.0,0.2941357511997047,0.0832666050035236,0.32888372093023255
2023-04-16,1588.0,0.3079820619071457,0.04049607090169495,0.06522008816120908
2023-04-17,2289.0,0.36645564645226797,0.033431809258755794,0.11174678899082569
2023-04-18,1134.0,0.5424070227524751,0.11684090799279538,0.3895307760141094
2023-04-19,407.0,0.456166383715085,0.1509348461296513,0.557712285012285
2023-04-20,15.0,0.3731111111111111,0.10577777777777776,0.2058
2023-04-21,575.0,0.4251693253396583,0.06463044502818846,0.27570904347826086
2023-04-22,2170.0,0.09803131565268661,0.007655784113906234,-0.28368447004608294
2023-04-23,131.0,0.155066728981669,0.0257334995066729,-0.2002229007633588
2023-04-24,35.0,0.43478170922048476,0.11742589893100097,0.6167400000000001
2023-04-25,1082.0,0.3575043470610767,0.05331822350667473,-0.08146192236598893
2023-04-26,33.0,0.33426465208885,0.019642354328183204,0.021848484848484864
2023-04-27,223.0,0.34918875935972354,1.7536959801534945e-05,0.15362466367713004
2023-04-28,1039.0,0.35822709499971445,0.04868488549157609,0.16458537054860442
2023-04-29,38.0,0.27626688992981563,0.030446145418439964,0.1637921052631579
2023-04-30,38.0,0.27626688992981563,0.030446145418439964,0.1637921052631579
2023-05-01,617.0,0.42852074554294983,0.20291619973759356,0.4933974068071313
2023-05-02,189.0,0.1368773128530624,-0.0629903570855952,-0.009733333333333337
2023-05-03,936.0,0.4286671910265661,0.027409478253228262,-0.013148931623931636
2023-05-04,8730.0,0.1975259389716264,0.037359720309973345,0.23516400916380298
2023-05-05,4090.0,0.3680634086383513,0.12470725358536201,0.12022706601466993
2023-05-06,2994.0,0.33442226409185655,0.07967487063649978,0.16029839679358718
2023-05-07,2727.0,0.5261000186971427,0.0999429048410006,0.4686243857719105
2023-05-08,1986.0,0.3071104987965375,0.06204580231485499,0.2067441591137966
2023-05-09,12390.0,0.35678306737471677,-0.055100561616276675,0.016494011299435028
2023-05-10,3469.0,0.4221323406426668,0.2127771028657451,0.406090400691842
2023-05-11,865.0,0.2704280881690564,0.013587946454637208,0.04530265895953757
2023-05-12,798.0,0.3929542667914709,0.042208284485622055,0.1843781954887218
