date,score,w_subj,w_polar,w_comp
2023-03-01,404.0,0.42779493999461,0.059491051348724615,0.007395049504950492
2023-03-02,88.0,0.18720494993222267,0.07182310114128296,0.12067045454545454
2023-03-03,47.0,0.491812050416556,0.16386487272751357,0.8563255319148937
2023-03-04,527.0,0.5072010255715189,-0.016557671455679043,-0.28494629981024666
2023-03-05,4341.0,0.30905692284675745,0.021347174417370676,0.21915017277125087
2023-03-06,38.0,0.4281144148249411,0.027719060909850383,0.43963157894736843
2023-03-07,8360.0,0.4472129813677676,0.05137209402230021,0.394472523923445
2023-03-08,271.0,0.3258174861930243,0.08882658900993773,0.08465535055350554
2023-03-09,12.0,0.6307539682539683,0.2531746031746032,0.27568333333333334
2023-03-10,149.0,0.3845548709589283,0.09012674025181652,0.32294093959731546
2023-03-11,4.0,0.3,-0.2,0.0
2023-03-12,20.0,0.5930211038961039,0.2770319264069264,0.6740700000000001
2023-03-13,712.0,0.31845103380574663,0.0914246458101015,-0.1491875
2023-03-14,6.0,0.4150793650793651,0.25396825396825395,0.5514
2023-03-15,18.0,0.515895061728395,0.07515432098765433,0.05795555555555555
2023-03-16,109.0,0.42768219970542815,0.08774688126630348,0.9629697247706424
2023-03-17,170.0,0.28360208527855585,0.13239519140989728,0.2159464705882353
2023-03-18,170.0,0.28360208527855585,0.13239519140989728,0.2159464705882353
2023-03-19,170.0,0.28360208527855585,0.13239519140989728,0.2159464705882353
2023-03-20,6.0,0.0,0.0,0.0
2023-03-21,27.0,0.5026250296523201,0.28408608970987137,0.7034407407407407
2023-03-22,196.0,0.4608493604306287,0.2809612724496106,0.5293295918367347
2023-03-23,180.0,0.3539896945646946,0.07840988455988455,0.395595
2023-03-24,545.0,0.22019495412844037,0.11488532110091743,0.011439633027522936
2023-03-25,463.0,0.2741439902494875,0.01721594789423649,0.33283974082073436
2023-03-26,2.0,0.30000000000000004,0.2,0.0
2023-03-27,4.0,0.0,0.0,0.3818
2023-03-28,1939.0,0.3077251714582539,0.0406224634558416,0.44703326456936565
2023-03-29,4641.0,0.3595204813734558,0.1324725411225501,0.2635339151045033
2023-03-30,408.0,0.3377101157786042,0.005833763098113691,0.1837855392156863
2023-03-31,245.0,0.43617760066302336,0.1754770234624462,0.35637551020408165
2023-04-01,2.0,1.0,0.5,0.4588
2023-04-02,203.0,0.283682491564265,0.036580414659232396,-0.04102610837438424
2023-04-03,2.0,0.0,0.0,0.0
2023-04-04,157.0,-0.014598119502578102,0.07554221786705863,0.20630445859872612
2023-04-05,1289.0,0.46095831069631943,0.10092067860159168,0.42976858029480214
2023-04-06,206.0,0.47830891535423553,0.15341620701446762,0.4166645631067961
2023-04-07,592.0,0.4871328129017861,0.012569949178208103,0.1472277027027027
2023-04-08,13325.0,0.42221454349277987,0.023208702906779833,0.29591894934333957
2023-04-09,600.0,0.39141423663404756,0.05559028721291088,0.15618416666666665
2023-04-10,11105.0,0.392423641004052,0.008252479537804183,-0.030089365150832964
2023-04-11,561.0,0.3593137027254674,0.12402115068291539,0.1776354723707665
2023-04-12,14.0,0.2649319727891157,0.10816326530612246,0.1869
2023-04-13,14.0,0.2649319727891157,0.10816326530612246,0.1869
2023-04-14,75.0,0.4402797498797499,0.06291791726791726,-0.36665333333333333
2023-04-15,2361.0,0.268166196009271,0.004887580535611043,0.014869673867005504
2023-04-16,59.0,0.35679999143982194,0.1434951206985105,0.2526779661016949
2023-04-17,18403.0,0.35897957888478566,-0.0046803615303983295,-0.13999017551486168
2023-04-18,8885.0,0.5053408600717689,-0.05760604977487997,0.09221696117051208
2023-04-19,333.0,0.3474956947774408,0.018811917204774348,0.008685585585585588
2023-04-20,14.0,0.43068634596695826,0.24382410106899902,0.5945571428571429
2023-04-21,87.0,0.4171800895558501,0.11499317037856592,0.6258919540229886
2023-04-22,28.0,0.4318424106239232,0.07484206969501088,0.38872142857142855
2023-04-23,2.0,0.0,0.0,0.0
2023-04-24,52.0,0.4064008739176711,0.09025740920302791,-0.2954576923076923
2023-04-25,7348.0,0.2280757030938056,0.06200420279617062,0.2561867446924333
2023-04-26,1022.0,0.39992162142235527,0.12938232900317048,0.3192227005870842
2023-04-27,6.0,0.6117857142857144,0.05345238095238094,0.19640000000000002
2023-04-28,2.0,0.0,0.0,0.0
2023-04-29,2.0,0.0,0.0,0.0
2023-04-30,2.0,0.0,0.0,0.0
2023-05-01,22.0,0.4148589065255731,0.12740149510982848,0.9900000000000001
2023-05-02,584.0,0.3337704807950578,0.016271488047273696,0.3472481164383562
2023-05-03,54.0,0.37362316026974657,0.14349591729109804,0.30358888888888885
2023-05-04,67.0,0.44797309747558506,0.1786622443338861,0.3303358208955224
2023-05-05,2.0,0.0,0.0,0.0
2023-05-06,3295.0,0.4649996477074285,-0.08571866438664176,0.12779092564491654
2023-05-07,32.0,0.25209573412698416,0.06532738095238097,0.3011875
2023-05-08,1297.0,0.30476356817835404,0.09996734295158981,0.2700380878951426
2023-05-09,18095.0,0.3448441046039835,0.14208701133376894,0.26912797457861287
2023-05-10,9889.0,0.319717190528673,0.10091370578163984,0.37952300535949035
2023-05-11,1335.0,0.4166726724706182,0.05972057957054655,0.2421383520599251
2023-05-12,1728.0,0.3338029950108726,0.08447841166918858,0.0791951388888889
2023-05-13,117.0,0.26632376794281554,0.09214429397762731,0.1815042735042735
2023-05-14,12.0,0.6583333333333333,0.1666666666666667,0.7127833333333333
2023-05-15,6.0,0.016666666666666666,0.0,0.0
2023-05-16,938.0,0.5949345273563468,0.06306051298855136,0.15564680170575693
