date,score,w_subj,w_polar,w_comp
2023-03-01,1150.0,0.40893651499466716,0.11089170548654245,0.5126258260869566
2023-03-02,38627.0,0.18860551412277313,0.03247340322033552,0.07759806870841639
2023-03-03,13889.0,0.2093706877143581,0.06971627427351638,0.12208308733530132
2023-03-04,13248.0,0.3270976335512696,0.08122310110584464,0.48068217089371984
2023-03-05,2470.0,0.3540492709866761,0.0992304285365131,0.3113907287449393
2023-03-06,1749.0,0.536524448094661,0.18952533921079573,0.4692017152658662
2023-03-07,114.0,0.2561205096073517,0.026015037593984963,0.2241017543859649
2023-03-08,23521.0,0.25378532379290303,0.0361285242316466,0.15776996301177673
2023-03-09,7255.0,0.3752179534899411,0.038483280323897265,0.10778919365954515
2023-03-10,633.0,0.28132100707704405,-0.031420472371853136,0.054057661927330164
2023-03-11,37224.0,0.36121553704568937,-0.05778071902881792,0.03508144745325596
2023-03-12,653.0,0.48616822304800866,-0.06925243773157248,-0.007935834609494645
2023-03-13,12.0,0.5826510721247563,0.11630116959064328,0.4873
2023-03-14,12.0,0.5826510721247563,0.11630116959064328,0.4873
2023-03-15,12.0,0.5826510721247563,0.11630116959064328,0.4873
2023-03-16,12.0,0.5826510721247563,0.11630116959064328,0.4873
2023-03-17,2.0,0.0,0.0,0.0
2023-03-18,2.0,0.75,0.8,0.6249
2023-03-19,289.0,0.25465403169419343,0.03310316195215694,0.4240854671280277
2023-03-20,194.0,0.41241047999899055,-0.004986948565692461,-0.2500340206185567
2023-03-21,57.0,0.3490949596212753,0.09074886289798571,0.6607333333333333
2023-03-22,57.0,0.3490949596212753,0.09074886289798571,0.6607333333333333
2023-03-23,2599.0,0.23652845738542616,0.0576486938046329,-0.04871985378991919
2023-03-24,3882.0,0.18185791680399394,-0.017499210895782984,-0.18417344152498713
2023-03-25,9223.0,0.291088108876375,0.013785035518055449,-0.005011850807763199
2023-03-26,52210.0,0.5544575703865112,0.1988812543075615,0.06363054012641257
2023-03-27,15554.0,0.3350606534687863,0.05770793159091307,0.07691746174617461
2023-03-28,34.0,0.5263302461959751,0.09942202440923668,0.3688294117647059
2023-03-29,2.0,0.16666666666666666,-0.16666666666666666,0.3818
2023-03-30,210.0,0.33521253173634125,0.32065103018674446,0.8384047619047619
2023-03-31,148.0,0.4612188769242341,0.27650646647633254,0.3758121621621622
2023-04-01,3648.0,0.37870780488582717,0.1046659412753612,0.5314895833333333
2023-04-02,7597.0,0.31841767651215214,0.0869510547457573,0.158057628011057
2023-04-03,3108.0,0.4368768614654146,0.008643874384728065,0.20602699485199485
2023-04-04,1140.0,0.30482587679070955,0.1214370126607955,0.08854377192982457
2023-04-05,1078.0,0.0845336013193156,-0.005446815089672232,0.0006750463821892402
2023-04-06,8864.0,0.49104533622899266,0.09182951169411319,0.27500005640794223
2023-04-07,27565.0,0.3259781664906911,0.015425802750644837,0.16126898966080175
2023-04-08,569.0,0.42296202276600403,0.0030455401612750023,0.00809771528998243
2023-04-09,20638.0,0.2526088666708259,-0.013811853737800845,0.058060761701715285
2023-04-10,3454.0,0.2919434013987792,0.011465210700481402,0.1881543138390272
2023-04-11,283.0,0.29537250342904053,0.02200294421584174,0.13059681978798587
2023-04-12,3051.0,0.33078914383578834,0.03771147046896801,0.14373811864962308
2023-04-13,1503.0,0.39031057300666816,0.09355557104568397,0.2230800399201597
2023-04-14,9938.0,0.2552416737667968,8.90409474252736e-05,0.07829530086536526
2023-04-15,301.0,0.3161670375311181,0.08921740295836447,0.1813970099667774
2023-04-16,30.0,0.3017733457019171,0.17735569985569988,0.22657999999999998
2023-04-17,2940.0,0.4306120462238475,0.06455271436637897,0.6382569047619048
2023-04-18,1534.0,0.3117323122790216,0.038763365132812054,0.03870886571056061
2023-04-19,73146.0,0.3792285614316438,0.06717297570353863,0.1589205288054029
2023-04-20,12177.0,0.3742436730046025,-0.0076985087305274265,-0.08540576496674059
2023-04-21,22100.0,0.4467835009378233,0.03737381957974024,-0.006902484162895931
2023-04-22,48604.0,0.23014742261327215,0.0010919777177641223,0.08878187597728582
2023-04-23,1161.0,0.42147273233600147,0.07383265241160697,0.09487527993109389
2023-04-24,30746.0,0.13408795877371707,0.008381933026028698,0.025727909321537762
2023-04-25,1178.0,0.35705009582677544,0.08051094354112484,0.1195565365025467
2023-04-26,12.0,0.28637566137566134,0.06507936507936507,0.23345000000000002
2023-04-27,24.0,0.20491071428571428,0.08824404761904762,0.125425
2023-04-28,6.0,0.5277777777777778,-0.09333333333333332,-0.02426666666666666
2023-04-29,2.0,0.6261363636363637,0.1965909090909091,-0.2778
2023-04-30,2.0,0.6261363636363637,0.1965909090909091,-0.2778
2023-05-01,2.0,0.0,0.0,0.4019
2023-05-02,74.0,0.2654240522990523,0.05818174505674507,0.3966067567567568
2023-05-03,4.0,0.25,0.25,0.2202
2023-05-04,4.0,0.1,0.1,0.25220000000000004
2023-05-05,2865.0,0.38588182498130136,0.06668411867364747,-0.34639273996509595
2023-05-06,1440.0,0.15586352054378372,0.05180116067736682,0.12022006944444445
2023-05-07,447.0,0.4723792850064376,0.06739830498966745,0.4634946308724832
2023-05-08,27.0,0.6031635802469135,0.22592592592592595,0.5766740740740741
2023-05-09,23941.0,0.34892356849981104,0.10872007687344232,0.3702613299360929
2023-05-10,3903.0,0.455306506770765,0.24437861922582302,0.4845602613374328
2023-05-11,1881.0,0.28121270780703933,0.015059463348837353,0.07357719298245613
2023-05-12,4087.0,0.37201574878853005,0.02343841934556394,0.08788527036946416
2023-05-13,52.0,0.282708870990121,0.00120641511266512,0.031988461538461535
